slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
16373980,143,16268865,0.5422955,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,143,100,4202515524.286713,600959719973,45000000000
16374340,104,13174453,0.4391484333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,104,100,1879663831.6346154,195485038490,19609509509
16374700,118,29363728,0.9787909333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,118,100,2238668009.5254235,264162825124,55000000000
16375060,146,13584458,0.45281526666666666,,0xBaF6dC2E647aeb6F510f9e318856A1BCd66C5e19,146,100,1539588645.2191782,224779942202,17276213092
16375420,130,11000984,0.36669946666666664,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,130,100,2056872702.7461538,267393451357,20000000000
16375780,124,8842985,0.29476616666666666,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,124,100,2176274764.451613,269858070792,20567096269
16376140,172,16182637,0.5394212333333334,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,172,100,1998368474.4476745,343719377605,31427336922
16376500,365,29979664,0.9993221333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,365,100,1369549272.9342465,499885484621,48108116593
16376860,95,7781335,0.2593778333333333,,0x42A93A9F5CFDa54716c414b6EAF07Cf512F46eAD,95,100,2553127300.8210526,242547093578,25770925026
16377220,125,12026602,0.40088673333333336,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,125,100,2208570748.888,276071343611,60000000000
16377580,7,716974,0.023922493648380977,,0x067F912da8CBc203BCAeC398a3e932DFcb1afa72,7,100,1571428571.4285715,11000000000,3000000000
16377940,189,16126169,0.5375389666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,189,100,3030776289.724868,572816718758,46000000000
16378300,329,25803767,0.8601255666666666,,0x4E71F9debEC9117F1FACc7eeB490758AF45806A7,329,100,4024753690.155015,1324143964061,137358757385
16378660,168,13891100,0.46303666666666665,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,168,100,1942216272.4047618,326292333764,12233107658
16379020,131,10370301,0.3456767,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,131,100,3758191911.8015265,492323140446,60132788205
16379380,288,29975636,0.9991878666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,288,100,2641239652.7881947,760677020003,6200000000
16379740,111,10857128,0.36190426666666664,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,111,100,2043156991.5225224,226790426059,26791298888
16380100,153,12587402,0.41958006666666664,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,153,100,1961706128.3398693,300141037636,20787006841
16380460,113,9020012,0.30066706666666665,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,113,100,1895230530.1946902,214161049912,17221250611
16380820,209,23285692,0.7761897333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,209,100,8807424394.650717,1840751698482,1397680952310
16381180,162,13106337,0.4368779,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,162,100,2776744981.8333335,449832687057,30000000000
16381540,140,16182861,0.5394287,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,140,100,3726949075.957143,521772870634,213384325147
16381900,151,16444702,0.5481567333333334,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,151,100,2045264290.3112583,308834907837,50296119424
16382260,203,19109483,0.6369827666666666,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,203,100,2443771424.8916254,496085599253,123804529204
16382620,169,22523070,0.750769,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,169,100,1849907071.6923077,312634295116,20000000000
16382980,150,12785706,0.4261902,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,150,100,4018070848.2266665,602710627234,124736755166
16383340,143,13419628,0.44732093333333334,,0x199D5ED7F45F4eE35960cF22EAde2076e95B253F,143,100,1890320526.7692308,270315835328,17447948695
16383700,182,16780454,0.5593484666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,182,100,2332129637.7032967,424447594062,19956623355
