slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
171129615,1626,65346619,1.3613878958333334,4307801,Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,161,0.099015990159902,8016,1290602,26700
171138256,4321,55810206,1.162712625,18060160,FjMVTPgur1MagwPwiWwkVDgcD2Xd91oMdw5d7VHuMTgB,142,0.032862763249248,107221,15225320,2505000
171146897,4320,28311675,0.5898265625,17581824,7vCtR8xMSCGVp5hiDG5JsGNV3mHSjYfiXaCfMxiT4veE,115,0.02662037037037,122945,14138648,7702880
171155538,2203,63237614,1.3174502916666666,5928330,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,255,0.11575124829778,8301,2116659,20000
171164179,937,75191411,1.5664877291666666,2848844,PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,177,0.1889007470651,10721,1897687,105000
171172820,2082,63650714,1.3260565416666668,5528726,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,182,0.087415946205572,8557,1557451,110000
171181461,2055,63076748,1.3140989166666666,5418780,nr9JVK5yUnqf3Eu8ecKHfJDZrxRKRsNzT76qPpnW2BE,225,0.10948905109489,7500,1687560,75000
171190102,2053,58566664,1.2201388333333334,5317911,AaapDdocMdZQaMAF1gXqKX2ixd7YYSxTpKHMcsbcF318,97,0.047247929858743,8823,855821,110000
171198743,2071,65807836,1.3709965833333333,5392807,Gx6BLWSxi1MEmPAR9jTRMTwnG9xjdExeRp4ehr4gWs2A,245,0.11830033800097,6758,1655613,36537
171207384,1127,12762180,0.26587875,2951133,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,52,0.046140195208518,10140,527265,110000
171216025,3169,61500920,1.2812691666666667,8062921,8AEuKfv6ovrTwo5wcitjkR12Hf7XpKD4RDgUyVCLtfDr,201,0.063426948564216,6397,1285842,21047
171224666,2399,62885626,1.3101172083333332,6286688,FfM4oeeszBdHJys9yPFV6hkcZB3ea5GuMYj81aVLURVK,214,0.089203834931221,7703,1648376,191237
171233307,1277,55905696,1.164702,3260802,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,117,0.091620986687549,6168,721603,10000
171241948,0,0,0,0,FwDVh1TWcVs3A7ndr2wdyEy62jsyL1LzFsbZYbR5un6Q,,,,,
171250589,730,76806621,1.6001379375,1965936,4t2m68yq7z4WycsdEsNt862rvSPDn4SGmc3H5eJXCrYF,197,0.26986301369863,6431,1266872,80730
171259230,3090,60337554,1.257032375,7840250,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,169,0.054692556634304,6364,1075499,14855
171267871,0,0,0,0,39LBAcWwBKacpijhmKvcdK6EyqXddFXBsGvXDCgZRTrT,,,,,
171276512,3212,53122525,1.1067192708333333,8372349,5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,203,0.063200498132005,8373,1699698,20000
171285153,0,0,0,0,HPca8Y8aMnkrTi87MJFHDvMtJVkvyMxFvkuLsoFEoELy,,,,,
171293794,1923,57383564,1.1954909166666667,5031055,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,139,0.072282891315653,8217,1142110,117000
171302435,1839,60538713,1.2612231875,4750897,7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,164,0.089178901576944,6871,1126794,29000
171311076,3121,59373046,1.2369384583333334,8159560,ETVrVajudJhPAcEpv1W9hpZYfiQucTYba8uLyzSFTCRm,157,0.050304389618712,9549,1499119,110000
171319717,1218,72540333,1.5112569375,3907651,VymDdiepH77edNcNcKBKtRUb3gbQPtPyGh5NLcWaynj,205,0.16830870279146,13416,2750301,78235
171328358,1178,10316770,0.21493270833333333,3590399,6Hmkv1M2jeex47MaAy6Qg8Xc6igX4oRMoQm8zSKiPR7c,46,0.039049235993209,33061,1520797,318770
171336999,2004,61243765,1.2759117708333334,5134654,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,139,0.06936127744511,6794,944308,22500
171345640,4855,46122579,0.9608870625,12729219,GMnc85JujL2raKLiTCf9TxN7YDiZm2JuN69Wai99SXZR,200,0.041194644696189,10917,2183437,110000
